------------------------------------------------------------
 Density of States
------------------------------------------------------------
Energy (eV) (#1), Density of States (#1)
                 1.6,               0.3635
                 1.7,               0.5848
                 1.8,               0.9107
                 1.9,                1.129
                   2,                1.122
                 2.1,                1.175
                 2.2,                1.174
                 2.3,                1.176
                 2.4,                1.148
                 2.5,                  1.1
                 2.6,                1.092
                 2.7,                1.093
                 2.8,                1.101
                 2.9,                1.105
                   3,                1.209
                 3.1,                1.372
                 3.2,                1.475
                 3.3,                1.521
                 3.4,                1.453
                 3.5,                1.409
                 3.6,                1.395
                 3.7,                 1.37
                 3.8,                1.293
                 3.9,                1.215
                   4,                1.157
                 4.1,                1.143
                 4.2,                1.081
                 4.3,               0.9993
                 4.4,               0.9301
                 4.5,               0.8826
                 4.6,               0.8234
                 4.7,               0.7785
                 4.8,                0.726
                 4.9,               0.6944
                   5,               0.6613
                 5.1,               0.6273
                 5.2,               0.5885
                 5.3,                0.512
                 5.4,               0.4538
                 5.5,               0.4087
                 5.6,               0.3645
                 5.7,               0.3346
                 5.8,               0.3059
                 5.9,               0.2747
                   6,               0.2373
                 6.1,               0.2008
                 6.2,                0.192
                 6.3,               0.1918
                 6.4,               0.2104
                 6.5,               0.2301
                 6.6,               0.2545
                 6.7,               0.2838
                 6.8,               0.3218
                 6.9,               0.3699
                   7,               0.4289
                 7.1,               0.4948
                 7.2,               0.5713
                 7.3,               0.6726
                 7.4,               0.8041
                 7.5,                1.005
                 7.6,                1.293
                 7.7,                1.646
                 7.8,                1.965
                 7.9,                1.973
                   8,                1.743
                 8.1,                1.606
                 8.2,                1.281
                 8.3,                1.126
                 8.4,                1.031
                 8.5,                1.064
                 8.6,                1.081
                 8.7,                1.049
                 8.8,                1.024
                 8.9,                1.083
                   9,                1.122
                 9.1,                1.189
                 9.2,                1.261
                 9.3,                1.326
                 9.4,                1.333
                 9.5,                1.358
                 9.6,                1.352
                 9.7,                1.283
                 9.8,                1.125
                 9.9,                1.049
                  10,                1.037

------------------------------------------------------------
 Fermi level
------------------------------------------------------------
Energy (eV) (#2), Density of States (#2)
              6.5852,                    0
              6.5852,                1.973

------------------------------------------------------------
 Density of States
------------------------------------------------------------
Energy (eV) (#3), Density of States (#3)
                  -6,               0.1619
                -5.9,                0.207
                -5.8,                0.271
                -5.7,               0.3303
                -5.6,               0.3275
                -5.5,               0.3565
                -5.4,               0.3977
                -5.3,               0.4469
                -5.2,               0.4983
                -5.1,               0.5318
                  -5,                0.559
                -4.9,               0.6121
                -4.8,                0.679
                -4.7,               0.8224
                -4.6,               0.8858
                -4.5,               0.9644
                -4.4,                1.078
                -4.3,                1.124
                -4.2,                1.091
                -4.1,                1.155
                  -4,                1.131
                -3.9,                1.185
                -3.8,                 1.24
                -3.7,                1.189
                -3.6,                  1.1
                -3.5,               0.8738
                -3.4,               0.5023
                -3.3,               0.1192
                -3.2,            1.516e-05
                -3.1,                    0
                  -3,                    0
                -2.9,                    0
                -2.8,                    0
                -2.7,                    0
                -2.6,                    0
                -2.5,                    0
                -2.4,            0.0004627
                -2.3,             0.002957
                -2.2,             0.007612
                -2.1,              0.01862
                  -2,               0.0445
                -1.9,              0.07363
                -1.8,               0.1016
                -1.7,               0.1274
                -1.6,               0.1469
                -1.5,                0.184
                -1.4,               0.2176
                -1.3,               0.2695
                -1.2,               0.3253
                -1.1,               0.3748
                  -1,               0.4168
                -0.9,                0.453
                -0.8,               0.5136
                -0.7,               0.5923
                -0.6,               0.7741
                -0.5,               0.9163
                -0.4,               0.9515
                -0.3,               0.9825
                -0.2,               0.9207
                -0.1,               0.8572
                   0,               0.7636
                 0.1,               0.6821
                 0.2,               0.6186
                 0.3,               0.5762
                 0.4,               0.5478
                 0.5,               0.5297
                 0.6,               0.5411
                 0.7,               0.6354
                 0.8,               0.6574
                 0.9,               0.5521
                   1,                0.443
                 1.1,               0.4004
                 1.2,               0.3862
                 1.3,               0.4143
                 1.4,               0.4949
                 1.5,               0.6417
                 1.6,               0.7932
                 1.7,               0.8923
                 1.8,               0.9891
                 1.9,                1.079
                   2,                1.202
                 2.1,                1.207
                 2.2,                1.127
                 2.3,                1.107
                 2.4,                1.093
                 2.5,                1.108
                 2.6,                1.067
                 2.7,                1.015
                 2.8,                0.992
                 2.9,                1.022
                   3,                1.129
                 3.1,                1.112
                 3.2,                1.149
                 3.3,                1.179
                 3.4,                1.154
                 3.5,                1.121
                 3.6,                1.121
                 3.7,                1.115
                 3.8,                1.098
                 3.9,                1.067
                   4,                1.058
                 4.1,                1.002
                 4.2,               0.9551
                 4.3,                0.911
                 4.4,               0.8694
                 4.5,                0.836
                 4.6,               0.8067
                 4.7,               0.7851
                 4.8,               0.7445
                 4.9,               0.7158
                   5,               0.6946
                 5.1,               0.6632
                 5.2,               0.6424
                 5.3,               0.6456
                 5.4,               0.5764
                 5.5,               0.5667
                 5.6,               0.5525
                 5.7,               0.5455
                 5.8,               0.5557
                 5.9,               0.5724
                   6,               0.6009
                 6.1,               0.6359
                 6.2,               0.6732
                 6.3,               0.7225
                 6.4,               0.7939
                 6.5,               0.8703
                 6.6,               0.9573
                 6.7,               0.9809
                 6.8,                1.077
                 6.9,                1.138
                   7,                1.203
                 7.1,                1.242
                 7.2,                1.182
                 7.3,                1.112
                 7.4,                 1.04
                 7.5,               0.9774
                 7.6,               0.8954
                 7.7,               0.8345
                 7.8,               0.7422
                 7.9,               0.7443
                   8,               0.7936
                 8.1,               0.8479
                 8.2,               0.9454
                 8.3,                1.092
                 8.4,                1.227
                 8.5,                1.096
                 8.6,               0.9957
                 8.7,                 1.11
                 8.8,                1.216
                 8.9,                1.293
                   9,                1.406
                 9.1,                1.447
                 9.2,                1.446
                 9.3,                1.432
                 9.4,                1.361
                 9.5,                1.222
                 9.6,                1.023
                 9.7,               0.8293
                 9.8,               0.6032
                 9.9,                0.504
                  10,               0.4691

------------------------------------------------------------
 Fermi level
------------------------------------------------------------
Energy (eV) (#3), Density of States (#3)
              6.1435,                    0
              6.1435,                1.447

------------------------------------------------------------
 Density of States
------------------------------------------------------------
Energy (eV) (#4), Density of States (#4)
                  -6,               0.2636
                -5.9,               0.3448
                -5.8,               0.3509
                -5.7,                0.385
                -5.6,               0.4348
                -5.5,               0.4949
                -5.4,               0.5583
                -5.3,               0.5936
                -5.2,               0.6514
                -5.1,               0.7312
                  -5,               0.8324
                -4.9,                 1.03
                -4.8,                1.126
                -4.7,                1.293
                -4.6,                1.321
                -4.5,                1.386
                -4.4,                1.493
                -4.3,                1.595
                -4.2,                1.647
                -4.1,                1.481
                  -4,               0.9588
                -3.9,               0.4408
                -3.8,              0.05749
                -3.7,                    0
                -3.6,                    0
                -3.5,                    0
                -3.4,                    0
                -3.3,                    0
                -3.2,                    0
                -3.1,                    0
                  -3,                    0
                -2.9,                    0
                -2.8,                    0
                -2.7,                    0
                -2.6,                    0
                -2.5,                    0
                -2.4,                    0
                -2.3,                    0
                -2.2,                    0
                -2.1,                    0
                  -2,                    0
                -1.9,                    0
                -1.8,             0.001498
                -1.7,              0.00743
                -1.6,              0.02449
                -1.5,              0.06087
                -1.4,              0.09786
                -1.3,               0.1313
                -1.2,               0.1549
                -1.1,               0.1921
                  -1,                0.262
                -0.9,               0.3438
                -0.8,               0.4026
                -0.7,               0.4521
                -0.6,               0.5319
                -0.5,               0.6736
                -0.4,               0.8563
                -0.3,                0.911
                -0.2,               0.9572
                -0.1,                1.001
                   0,                 1.03
                 0.1,                0.991
                 0.2,               0.9303
                 0.3,               0.8149
                 0.4,               0.7366
                 0.5,               0.6925
                 0.6,               0.6995
                 0.7,               0.7494
                 0.8,                0.764
                 0.9,               0.7342
                   1,               0.6464
                 1.1,               0.5033
                 1.2,               0.4596
                 1.3,               0.4732
                 1.4,               0.5435
                 1.5,                0.671
                 1.6,               0.8265
                 1.7,               0.9293
                 1.8,                1.031
                 1.9,                1.109
                   2,                1.077
                 2.1,                1.045
                 2.2,                1.019
                 2.3,                1.005
                 2.4,                1.037
                 2.5,                1.057
                 2.6,                1.005
                 2.7,                0.983
                 2.8,               0.9825
                 2.9,               0.9974
                   3,                1.094
                 3.1,                1.188
                 3.2,                1.214
                 3.3,                1.272
                 3.4,                1.304
                 3.5,                1.323
                 3.6,                  1.3
                 3.7,                 1.27
                 3.8,                1.267
                 3.9,                1.276
                   4,                1.212
                 4.1,                1.152
                 4.2,                1.081
                 4.3,                1.021
                 4.4,               0.9753
                 4.5,               0.9355
                 4.6,               0.9032
                 4.7,               0.8938
                 4.8,               0.9469
                 4.9,                0.933
                   5,               0.9538
                 5.1,               0.9038
                 5.2,               0.8527
                 5.3,               0.7431
                 5.4,               0.6671
                 5.5,               0.6258
                 5.6,               0.6421
                 5.7,               0.6352
                 5.8,               0.7141
                 5.9,               0.6571
                   6,               0.6292
                 6.1,               0.6445
                 6.2,               0.7098
                 6.3,               0.8008
                 6.4,               0.8589
                 6.5,               0.9122
                 6.6,               0.9198
                 6.7,               0.9074
                 6.8,               0.9183
                 6.9,                0.933
                   7,               0.9298
                 7.1,               0.9093
                 7.2,               0.9013
                 7.3,               0.8965
                 7.4,                0.919
                 7.5,                0.948
                 7.6,               0.9672
                 7.7,                1.037
                 7.8,               0.8682
                 7.9,               0.8066
                   8,                0.786
                 8.1,               0.6929
                 8.2,               0.6769
                 8.3,               0.7346
                 8.4,               0.8683
                 8.5,                1.065
                 8.6,                 1.19
                 8.7,                1.247
                 8.8,                1.283
                 8.9,                1.321
                   9,                1.368
                 9.1,                1.343
                 9.2,                1.396
                 9.3,                1.353
                 9.4,                 1.23
                 9.5,                1.003
                 9.6,               0.7856
                 9.7,               0.5921
                 9.8,               0.3903
                 9.9,               0.2714
                  10,               0.2422

------------------------------------------------------------
 Fermi level
------------------------------------------------------------
Energy (eV) (#4), Density of States (#4)
              5.5614,                    0
              5.5614,                1.647

